id,CO_CHAVE_ACESSO,DT_STATUS,SITUACAO_NF_CO_SITUACAO,TP_ORIGEM_ATUALIZACAO,CO_CHAVE_ACESSO_CANCELAMENTO
10,UFM7EUH2XW3493MDZOSM7WW07OSAD0BB4V0KW8CABEIIPW2HNLR02IJBOCP1P,2004-10-02,G,1,P09R7H455AVNQQ3HIXK4459IWOBJ1P1CZWWDXOLVJW6ACK1ZH5D8ELRLTY2R6
11,5A2KNH44Z5464632L1W8QM4C1ELOHGIN21XD3XBNN8YFDMK2O7QRGOZ6Y0UL6,2009-02-12,C,1,QYYTU78JE1Z7LLQLY67ZJ6ZD8X7APQFK0AT4RQXUID9TZW70ZAHQZ2WE2D93O
12,5OE0M5D3P7REOI9EMC8MNKOQQ30QMR96HECK4L3K7Z2SLN6Z2HDVB6DFSPDJC,2019-03-15,R11DONE,1,FT9R5JJ52AFXHU1OR3V1J7EV0UFAZRT3RACM80JWEZDXUFL9Z2I98G6ZKFD23
13,JIJM25GIOIIZZOMCR60RK0XKPA94D42LBCGHHM60FL9S3GHEJA43OVT15LBTU,1996-07-25,W6QTWP9,3,7EQ8SWMEWU2MXM7OV5N68ACZGMKJ4MZ9JHS5OPW5QI093UIO7ILAR0EVMDN21
14,6TBV4Y7BNZ7ZET20V8GEZYKQOILI55VCD9KG16UJYVA2GANTT7HVU8WNJ9KTB,1996-07-18,E9O0AS,3,7WL2MDMCXD1026557GIND5GUQR3LGNOD4XMG1CJAMJRH45QRYUYU6MV517NK7
15,EY5QLEHV489WI1TTSA77UMCXL7MA0DPQ1VHLFCQ0KYVSQKTD6LB8ZHSTJN5C1,1992-05-13,AXU,2,VENDLXHJRFGADUDIU7PM8Z7CTYFW7NQ9IOR4DM90IYCAJMVGQ12LMK9C1T1I0
16,61JMURSYVDA82VZA0ULGY6OTGIZ6RX7ZV11Y630UYESJHRA4VXM5WI61F95ZZ,2010-11-06,0CW,1,XYOD59Y2IUHSTCGJF9015OWZ0EOENXRBFHC9F1Q7SBSFWZRJ0P323K0UAS7M7
17,4NRD5MQTG2SDICMAHMPFU39X89UCII77W4A3SIPKIVGTEX5PHM3Y3K4OE4LTB,1996-11-20,LXNWX5,1,QV4X1OPFERZTYKDZG7DRZJ8T1AQTTGIGAT9N4GOIW5DQRDKBFB4GI9XJSQ3Q4
18,JO5QTG0FRJZNZGKN0GHEKBYKAJAESRO862M856PKV3A2TC5GI5G24XN4J0VQW,2004-02-21,1Q,3,NDYAHOQA66YGASY70PRSG3Y2O6G1JN918WPPJL9FUU6K0Y4LBUG405YV9FQS2
19,E4J3RRQPBS4485DAHJCCBW94JRLXNC2DCYME059TSJF4F7AQNQJ1IBIEVM7MM,2015-02-09,PK6Y5BHPDV,3,S01J940W70VR9BT1WWEYOV12EQZCBYVQYZD0AGIN75EYDD5B7A4THXSISSMMJ
20,I3LHI384PIPUVSBMSOL2WCZIABHOYIZAYHONQD4IEEHTV8JQK96OZJ3BQ9J16,1996-10-28,MCPNTS0AA4,1,5VSFMSSWV5TNIQOFNI5OK9WSFB4HMT4QGUCBMFXB0SASPZN1I020NA6TFOT8N
21,QCD4W1MB3R0RW6GTF4S00F43NEFMBUZYMTRB8G3RCDYT88KM73LB40M6EB23I,2010-08-30,DZY5,3,GXTQOLJBKYEPHFG4WG2MOU85DCER5LXXRUPN9NVQFBVYKMFTGVA7M2AY6NTJB
22,583LGNHUK2XUNED43ECLUERWVDZCFA32HV07COIYB9CB4POJUSARVVAL6G2TQ,2017-07-25,JP9IQA8O,1,NFLGU5AAMFWQY1WOJCXPPMH565NNJFXOIDEUVDPPVEH100C90VJZRZ88C6ZQC
23,JQRBC8Z2FX1BWTRQAMII22UZ5U8HFTWXXFHYUCC2PV5MIB8CQDTTBBBN5C8HD,2001-10-12,ER1XJ9J1,3,ENPQ6OXAY2U2HE2NI3K4L6JC4R1PMONRZC81FHH2ZXTWRXWREXCMILI8D5NPL
24,BMB5TXTB8PH5C3K6FMDHZDU4B5RLHV11YN8EF2NPN7V1UUYB8ZTK0EEHEIM9W,2001-01-05,LGHCLYR,3,Z5CA5EBDHD1GH1K6RWS2GAYF4KS1OEQ9WUCC9TMNH1GPIVZD68MYQ8RVUTKQH
25,VI9ZH0ITYZJ25LSAIZLE7F0M2MHZM0RVY1S41809IEEJQAC78S2AAEZSSXB3F,1990-08-26,GM50JHX,1,F2RQ2HBL72F3OBHYJQB89U2UB80EPYIN96VG408GBNV90L2ABU13N0QWHINO5
26,BN8R6V8IV4GIF1AKERS5HV7L9Z5CDWD9I6C1361XZP0A453X8T0G7QEJ1N85P,2009-06-27,H,2,Y32ZEXLTHGB4JIQUTEA1H3JNJK4WOEHDUN9LBJ948QSCLR79QVE6XP0BLGOY4
27,VATIVH3MS77HSPQZPPTX46CJWVX22LESHA202QWQLRK1G8Z0ULTI3KW4VVEW9,1998-12-29,3N,2,DES5DES8Z5JM44XXDNYVLOVHWZUQXN1WXUJ9GEQQA3R8XYNTGQW5VNE0H24N5
28,0QXSX1PRMD7FE5G63JA1CXEU93M4F12S7SWXOUDA7DVC5Y7RXLWYCI7BX84HK,2007-12-15,Y1KBT2R0,2,2S90ZPX2FSNWBB13D9UK8MBTM0W05FBH7T6AJ047X1XWLD9R382MUYWRHJYV6
29,URUN4H3YYKBCYUX8XWPICHYP4KPSPLD7W8UMNPGY46G61OUMAC2LNXIJLPG3S,2005-05-30,GEKQUEN7O0,1,3X99PGRKNHPMY1RR62512KIKVIP6ZE4Z2DCRW98E5Z1755ZLNESGWCR2E12C1
30,4L67TT21514LRDB6O9SBQBCHTDT4BM6YEEOHIF54TDF9WCHQF3BUEYDE32JQI,2015-05-01,IU3,1,4CPAL31OFD0A41EZZLV7EIIXDYM0Y01E6PCTB8OLPA7JFX231TSRK2GG6TX9C
31,NMEI4V03BTXO65CGIIXC1FLFHLMR5DF2IOIGE539OQGBC5DG0S1TU56DGPVVU,2016-08-03,IIOUXATX9,2,D3JRRB0N51FARACRJMB8NRKRCHOM20PXDKFF8D0MACJ0QANFVC99VLGMY9KRU
32,59V5VOSN71IRY59B2IOTU1Q4KRKRKUE55PNPGH41C0P3DGLM7WJLNRYDB2Z3N,1996-10-24,UTRCL5,3,PRZKXJMOI899G7VTXOBD33MMWPI1325UUYBBKI9E8J8IBVROZ9O4VNO04NHKH
33,O0U5FDNARTM2GM7UREF4I3N7OND95PGEUEFWUMBH818V2TBKVHLILA064KZPG,2007-09-02,EJKR3,2,FYWMU7BI4I9D1TGXU9HOMCWVV841TCOFJEYOH89DBZCTAAQD2D53PEW8DHGFN
34,DTN3W25ZSICYJRTN72IB5LQ75QX6115SGET5UF5DHM96TRJ5FNZJASL5XSLOZ,2004-05-06,MKCYJEJ4ON,2,HXJ7UTYZLIXZQQHP4XS9ZE906DX5B2Z8FJUNCAC8UJUH2UD7ZMDNBBY6IK36C
35,EAUKTST3ALJQFC6HGD550QWRXMZ09KNVEH2UIO0NHCHEDUWPK064KBNX2HVHX,2002-10-22,BA,1,V4PXLGU5MZ5ORXHAJMM58LH0X0OL5F9UTCHOR46K29ZMWRRBS1QNF1FQQIQR1
36,HTQBJNLR9U8SGYV7NUZCCUXH5OIL7HV7FHBIQ2YUPLSY3GDKCO0FO0PN3VIGW,2011-01-20,A9BM13N,1,CCWQC7YO7USDJF9XGGXJ7GD5IVCVLEURUKK1ZOVI44FCJFQQTLWDRQB2ZZDCC
37,1GO99V3VE64BHWY5T9Z3G9857HKP7LMV9LBSFBMK9D91H3Z3A025BGOFZ3432,2018-05-26,TR2F,3,YCRA31AJZI1XR53X7TP909G86NJ3A764K7QQ0K3EXUYM29XT1EUOV1TVY6HR9
38,AAQBL7MM9C2KR4YEKA2FMIZ36NTVLRSU25EHNXR46CAFT9K79WCT6EX5FY34Q,2004-07-19,U8CYH1X0,2,TBKWHEQ3YA5XZ8FNG43AJEDM0174PJDRGJBQ3DTIA89YPR0SMMZOG2UKK6FN8
39,BVYAM2CUARKYTH0NUBHXF3CDMCIJBP22T6BPG45IT1F02HVMPXY7R1GH924FN,1992-04-29,1PSFGM,2,HWLFRIIVHY1XX3LQH64Z90M12JWHUQQ3SJVHFI746IZ1JLQS7IA946G3BP4HJ
40,UJRFTILTAO8JPLSFEQPIPO5V41RCF6VOGRWDTOXLDLF49TTLVIZ1754O0QN7L,2001-12-05,SZF1QT78,2,VCW7HHPR7GK3IUQ89N25OJEUT5V7PPG5STGWA707N774Q5Y5M6SUHC77XW1BI
41,EVXDPC6SNRVR6C1CLAQA2FT4KIY62P4PZDLG34ATGTNXPGN6CHKDUY9KRIOSY,2003-04-26,LCE,2,R7T920DR321HBW1UPLB17DQCNI9UEC9XRGOAE53A5Y66455D0ETBMOVIDGYHC
42,RLGG1B72P2V4SGRNGW3FHU10D5OKMCIX2RRZ8CQQEP66CS1LRXXRIKM3V4979,2009-05-05,FI59GJV,1,BMZFFCQQU5AEG0VKTKRMLH15ZZHJDI4QHT6JKDL6E1E376Z3J8AE2CXPC92WK
43,ZT66S57T5DNV6OJW2KBG1935OMLIW9ZBORVLXLBN59OWF3HKB1MJC36DR6MGV,2008-03-20,G7OL,1,1HVTSUQRQS45OYAMIH7OKSM3NG35F6UZVZGC55E8KEFUDXWZQSB52G07I590D
44,3X50B226TWLLQ5LQ96GW97XEFBUJKPCR7NHG8PZITJ031U9FKCRODWQ2NS57D,1999-08-06,GGSGT3CSFP,1,T4Q5VO73LDAGHUPV16FOKA3H6JTC2WIIP189KUJ9H93S5X0T02427I40LVZOX
45,3BB0CFYOQL1VUE5Q8PDU3M1L9VQ4M9U7TKJNTAZK55SXHX8SSCXTZ43SCLWL8,2011-09-02,XZV,2,80LJEZNLCW2UP99V63O7SYU90XJSFYIVLUOT2F975C58K3SE0MBV3H1OLXK3L
46,DJQA8RQTZWOI6U4CN0EJFGTF9CNFA3KISL0E7NXVFEW95QPQ0Y9VIACJP8L4B,2015-12-10,2RTCKRG,3,TCNJQIR1DOAX8AFN6L9EKEH7ZIJE7H5KFH0IIGV1MD6CUZDQR8EI45IBQ06W0
47,VI5WKT1RFQCQGSSAY6XOE8O1MTTCEVC2YPJ4QQACQLY0EOL9JL22K3ZSLZHPN,2017-09-21,SOYSIWD499,2,Q6824PWN8ICLZ8STBA2PH37310GHOYKW8I3JZDXY9A2JOC46TAAR0F8YRDVRB
48,L5X0RV051X6QU7JWKHJQL3FR6N218WYCRCSPHZBRRZT4G3OIC54AJ1VB0QDWV,1992-07-05,E,3,5K5FZ53WOU21RI5LF4LPXLNKOKKXD4IWCV4NLYB5BXZ4ZL0SR18ZAVPPFO0L5
49,LPQFFGAU2I09FZBHTBHUR44P8NPQSW9VCI79CZBSFOGF8HQY3CM0OOJJUGX11,2001-01-19,GU4,1,MCHKRX609ETZHRG9VVH3X6ENWK9GPJ5HW919ZL5PHZBL6BWHN4U2NNQUALC66
50,U4YMO5Z6T89BDZUP8NY5ZX33NZP8B3LTQ4119X2CW398YLPF5DOOOTFZKU0XN,2015-08-08,1,2,V5MQC8EMBB8QKTG9RKDFM9I1KAZXD0QYOUJZMYUQN74C6FGLATSQNBMRL51VB
51,IBK4MX9RK6LM2FYL69AH6CZWR1Y51V5EFE5XMDKJZWM9HUUWXPN7SY1G881TV,2009-09-24,DLCBBI1,1,WQ8U4ECUXVWF4V7F27BED1411XLWELQNHJUN7J7P0VFF5IHXTGQM9JVRF2BLF
52,K0XEDJAES527PMZUPHEZHZ492C6K0JRLPZTR28UJDM75Y221WGES0UHMB9NUF,1999-12-18,PNRLFAT98,3,CG119WO8FOKSUYHWSZD3JZNI3LAQ61AC96S80AY2YVB42B7PA311JNWK1K6VV
53,0MYVMJNH4KEEHBSL5U19W262ONGZ93W5YNCCS4ER8DOUASRCZ8HGLKMUY4K81,2002-10-13,4FNUTN1Z54,2,2O41NUNZVLXS115RCRW6S1M3VOIBFOP1VZIRER41YTI07NVOUH3BVBPRCGYDW
54,VV3FFAXOTXSJ3T6OH00Z9XI9UJGBA75HDXLZSGAZD93FKIPCSR1ER3NGQWJXJ,2019-06-03,81,1,LQK0VK1EFF2MQA9MGMLR0B14TKTNE4AIEBCXMNYW9161RQBM6O4MTV2PG8A4W
55,WHVDCK9C8EYDL6L910N70QNULWJO3TMZ1P55XNFI0X9AAWSPUQGONHOV3Q3YR,1990-03-18,E,1,LXVC5QLQ2H67IG3SSDGCDEOEPZWNTZRO2CIDSNNXJFG58DCLMOG3WY1BACRBX
56,LF5MUYS6LFRJI7JI5KMRFEQVI4AUK68XD87GUL3KHCOADN24XB0RXCBXFDLYT,1990-11-20,7SU,1,OQCGGWDVA0C1I69OOQOP3XGPYZAAIN6ZNBWBWP64J7PDBH9DV2PYYEO8TZKS4
57,8XUIX1IYVI6G5XVFZWTV6Z6P6JGSBQUM3VWD4HH1QF2ZEQS2E855QTWU49VRU,2005-01-21,K4,2,IBATNUO1SHUAWRA3P8IBTTWYLYEQTDSQ1NEH5ESK4PEJGTQ293X7TXP0XJ3IX
58,EWL8E7REPNRFOB0OG0ZAKRR6D1SZP2I3VFO58UXW0T3VCDDRBXIISIA6Y6MDP,2002-03-03,LF2R,2,36VQW955JTCZHGE28U6TL80RS2CUFHB21L5BH66XDLDZYJAZM104ZMN6Y7OIM
59,5YFI0OOPCI40ZVU2FY2IXDDQ9LDMVH9TKIUE46XGQNPZWTEYILTKMN6UIXNIS,2008-01-04,E0S,3,UREDPQGX0BF56030DWWKRPY4MYYDQ5MD2V2RKESILB8JA962ZFIJV18JFQGVO
60,6HKE43AFIE4WAR2EHDKSM4GSO37RNWPTMUVP5BOYO43P5AZ985T28KROKOJKA,1990-07-24,V0JHIE4,1,AV96RYVM6MI1TOA166R56PCG0M9EJXRN6HPFRJEUR4QQMU4QTKHIRN1ZMIUCN
61,FBRN61Y4IM8XPDGN385X6WSHPBYRQ9IDUKJ2N2Q2XA43PPXEJZ1F57KCIOUGM,2013-08-11,CU0X8CXKQD,3,TZF8RATGU85E3YHYETU0Y7VKEEV809EYZ9X1PQ88RZJEUCBVJIB2IBSGC2CMV
62,P9I1NPBNOKRH97WMP9PFW9338PUVOLXTIF4GWNJ8AYA9L9W55Z5M8O0BIHGF3,2020-07-23,96,3,IYCWFBIIE37HCWZGDP1LMVQG0F3ODNSD5J2T8SH9LG6DR0DARY5U43BS3NXQP
63,0LHCJ5KDK326K1PV08Q53D3OTA32IE74N5ATVRY92PCO4BKSQLAICWTTOE1MB,2009-01-07,VLETJ01MRE,3,YT144UYK16319X44UX6AMKTHIV18DIS9ARB0NM9FB8OJQVK8TRXVU694RQALK
64,0CJ0ITXYZN2Y8OVOEXWB0J1B8XXN1OYBL6RWB7I2BYQOJUYSI88JIM5JW633A,1991-07-15,GV9,2,PQHV9M8SJC3AGCSG4GBE9K3A30X9FS1Y8KVXV9I31UAVUNJY1VAKL3VJM8DR4
65,8DYXKJYTX9XIR2AZOVEE9225CYQNOGOZUFI47C8JZZETJ0LK9UP877B1TWW1C,1996-12-01,LVO,3,V0JNGAV61E5DLVL9AWFZWD7V71IG8VP4AUS9OJDOWQNCG77EYX5969DPSVIEU
66,YW17DQ978I2HJJX1O70Y8IYBSN1FWLJ9P3WADU21XPT2E7BR5MWV9WG2SZVNJ,2008-09-25,EAJT5AQP0Z,2,Z4N1Y61REO9TRD42AN490RP388NEOIRPIRFCW8QDENDHZPWXIIJD519NE9O3I
67,ZB9NZBA5HK25PETHELVLKLV4FLMOR9YAY79S9M344KQAYP7DXBYJSZ9X5PUKJ,1994-10-30,T4NZCBTLAD,2,6AZP1AQC3N03QDSQDPB5GKDXDVRRO4L3BWRGYGXJ7M351AJSA7VMUOLBSR7EA
68,OHNQH1VPXW3JLJNOI0QT9Q2CWUEJ1VH5I6XNF00YS8QFW3TOMMT1YXP4TSSSO,2011-04-12,O9U5NNV,2,YQ0RWIDK9HMLJVFKWDOD4N7K5AKQ4TU50Y9HUFCOH9J0MCHS62FIIV8PN8NNH
69,J7JY8FVKXMLQGIAMKOHWLZWQVM4L7GEODCAL5Z9VH82MC2IHZS3LF1ABDV2B4,2000-11-25,N4AAWKEBHJ,3,661WU77UZHNPW9IK3FDSUL2EEFL90MFFUIJP4ZEC1SUDM4ILM9NXC25JN0PM6
70,XMGJ5T1KS4HC2BQA7A9RZT4C9ZX98I1BC26W4MECOJ04RA35YTCRJR2ZIU9AD,1991-12-22,42VEH89,1,W4BAK9NVG1BL8MZ1ZEE5D6IQ146Y8PY7UBN5DVC1B8SABUCFHDROMODABLABL
71,0RGWYG8RMQZBNG2QTLICKSEFBXUDWWUUNL3J59MCHI09QV7T685ZJNOINFLRO,2014-01-16,IN9SA,2,8QIEWVTNW97AK3P2NE6MJ0E7I3NN7JA8UJ9R6FVKSCHMI99TH7TL1PO4IVONB
72,9UOSD7M9K9MTJ6ONHN0WS9TLE76FMUSM8Z1R5TGQU6RJQR8XC5WRQ75EZCFV0,2016-07-06,73R,1,8JME0YLCOXSX32FWGKII40H9H73A4FFQNT26P7HTEDMBCI3GY2Z46GYO99D6C
73,CY9O14TSPBBJ04K5M3UQH68OP3AKM7BCIN1FBZD9CR4LILVVSYAEHTSZ33R7W,1995-10-19,2A,1,OQPNPKL8EX553WPQGTQ0YL13EUK75V5FRK5BDQ42VYS2W0W16GGVRA1DWEBOV
74,IW1ZLQD6ZDWZOZC1JY5R8HXOC2G817YH4GBQOR80EPM7HBGVZLSIUZG1IRDJI,2006-11-06,I12N4J,2,ACMND1LFRUIGITQIO4U513B61ICX6ZE5DEG4DZV7UMV15WZQB6XW0HESU6FAZ
75,6FCTLR8AQTWX1U34GXHE32TP2W8LG8KU7BN5PG2CUHXYAS4WUDTN3S6YTIPME,2010-01-16,HKIVPFE86,3,KF48CITLVQ6HXFGVLRMJEJ1G4274HRL8V2VQKELNO1KDNYRZESPBQXEMRPWQ9
76,ULJV2BGO5073W0SL4YQ56YZAX289A7BDFHS5Q36L9T24FA02GVP1SXF2SPF5I,2003-08-23,16CZLSPO,1,BX5NEJVIKMFYX5OLOOTON769CKZIJKMX27V26A3A3KRCAOYKJOJPVXFZW8RQ4
77,0PPEAFZA73N9TTI36O50SYWV6EQN9LKYB3GK0LZIR0VJHFOB3TC8VNKLIZJBG,2019-12-17,8TX,2,4L0DQ8M6CD2SS70FX9FBX02KBCDUMHBASV3XM6OSA9UASCPU0TZ4HZQAAYREC
78,3O79Y3ODDQ34FE55CXVJ2XWG1X7RF641MLEY1XB0U8IENUX161B0RGRJ8527A,1999-04-19,719MUU,2,6EXV1BLJ6U5VWUD81FLVKGZJUC38JNTTF81AMONYGE0EBW1NFYZT80ZF5EITG
79,UKL49VICDDM9KQA6M6XUCO7DMF1X5WJNLRQP0PIYACYVPMV0F7MAM41FYAJV2,1995-07-07,8OE3J9F,2,WO2AK8VISD9M2ZJNCJJ72W2AHIQ1CQPG79DPI47FMFEV8GK26OPTDJYYX4AYE
80,2IE25FQSHR3CU8NF7E9OXWVOFN2EDMXN2GQHDKBC67DRW0FKFVTCKOLVYRFKH,2016-11-05,3E,1,1YB7D46WFBMCF175HNY1Z1KSLGZB958CF90JEDKOELX5VTO6SRDW8M78C2TVZ
81,2BZU5DWSN8NGF70YARBKGOM1OUGTL2IJ170LSU2OVL4A7TC3100R92QT8958V,2010-01-19,DOJQO0LBKS,1,8AV6MKKE08KS0UV6URAK2RWIJT48TTIZ257L3YX738TB6T9KZUTO0K6GZ4078
82,1S08XIDPCZJZSZEAYJYZ4WKKQLBETHJKYNVSGX277BQF4HW2UC2K0O9VAIJH3,2007-04-17,TV0RZN03R,2,97JHBXAKQUABW9UFLMXUIKUGRVRM8I8F2REWRFXO7S8JCMMI28ZIWSRB2ABW1
83,EAGQMBUM7VVF8ETJZWBI3JWY8RAF98OHU0DHQQM2O5S05I20KKFWS3G4N4SJ8,2001-01-14,0HRK0,2,ZXQCW015PFV6KT84H9ZXC3NJCMYW1GK9AHEAERCYLI3HQLIDN55D8IZLWIR2B
84,3C2KZPF3FN81OO4PY5JNV27RL52WAZ27LGR7855M5LCYXECTZ7KW1AN1SDPX6,2018-02-27,EPZ10A,1,5IWTO98UDT1CZXP36N0WW2LCZ7Z9LRCJDVTV9WIUG2IHVYZPE4WLLT0QMBVPL
85,O6VLCTFD4F78W65OH12S0QMB5TCOG0D65KWTNLNNRUBPCZV9JSNU3A7RGC6Z4,2003-03-25,NAZUI4JR3,2,TRA4FYML98N8SIO4L9WODSAJSJBSKV70MLS8B0GW30ASTISMBN2T17XNK6E5A
86,5JDZWLS27X1BLHXWZML5EGJ840KF0DXO4WS7KYRDQHCK60RDBMXRCCMZVWKSH,1998-10-07,EL1RPAC6F7,3,J8CC3FLKDPVAA38PALI60H3W9YGOFMPJAUULLIQ4P12P2W7SY8J8A879864OS
87,U1OJR8T6EBT9M6597DBHXRRA2FZQSIA75X4CG08WT75KRRCJ7D1QLZ52107D0,2019-05-07,RI8SMTCRD,2,8AC1083MAL1XVK11AIFU12BZE9MFQD0WXHAIIU0D792AZODSH0IETQMGOS1DT
88,N6O177QSJD39ZTD98TY3Y7GNAV1BJFQ3BKB3YYH4D06G39I51QVWJYO2HCN88,2003-03-13,M0,3,KEQYDEQIS3V2I75F9H5UZ0DL8JFDTWWRR91LM64LUQX5BS35TAWN5238GVDRQ
89,LZM2K6DY8XLKL0VB4GLZRKXENS0D0YGFAKOTQ3U7CHY4N0C9D5WFD873TVPIX,2010-01-25,5EWN,1,EBG84S6BJZ2JVEG0JKC2HJQ48E75NCKEUPA7JJBU5NSXXI0EGNJGWO51KME30
90,5BQZDFEX46PPOYA1SKLB8AF2BFYAR0JHT9KDNPX4OU9MIJPRVMSMMI6XU4H68,2006-10-13,F177NT,1,8DHK2PPJXOVXB0JQFHQCU97BWKS11MIML1NJ613AYW625F1AHEMYM7U6QAAV6
91,TQL75J1QRLR2PVEX99HU3O7NNVI0KXGB5ZVUKX3AX54AOWVRZUS0PCE713NTF,2013-05-15,ZX4ZK4D5P,2,BM13AJLD81MURR3DV3G8MOV7P1A30FYUILS0XGZUYKDXHAX6YVBG85OD6KKEH
92,SD9C6PORCBBJ09ED7Q6K52V38KYMYUP1BARB365NW423U19DI2MJJA113864B,2003-01-21,M,1,9WMGWPUDDCG2BC3MCZMTMMB8EET2JRKB490SNM6BOPZ97OVLABH5XN19IBVU9
93,T6OQH7Q5VX7YVPIV05QNESN9JZCOQ29ZO8ILOGCA4VMWRFLDLGXF29PC01NAZ,1992-03-27,28437AWK,3,UPCVQYXM4YKVB9PT9Q4IIA11X62PAFNE9KT8ZFCQ2KV9C3RVVA3XFYFKIGUS3
94,FPCRV40CISER05D8YREM3K0DVNUGC1HDUD0K4LON32BJ0ZUXAFNELO3GN6I5O,2012-09-02,26,3,0PPPPUD3GSDYB3BSMD5ISAGVCQ9TYHZYA67TK2U0JH7KEL5B17VOLIR6KE0EL
95,FSVXTJEN76R1JUD9475SUWJ46VAK9ZFWNPQMNW7LI3MPFO87N67OQUXGX33OO,2005-01-20,XV4VJIFLBO,3,HMGW5TDZ5RB4CLJQQOD0YFZI326RI5CJNILXXDKD7UXNGDJQZ21T8E70BTM1C
96,VACIYPGV1ALYXGX9JAGW4IV6YBTIE9YZNX8MY4KUDDML3PYM1Z9TGFAZZHQ7W,2020-06-06,TG7KR49,1,GPIQTNJQCO5F8EKMBNGDL5AAE06RKWV93W470ZNKEYVU4PZJ6IEOTVKE5LOZE
97,02J5WFOADKC2TDJWO80LLG0GUQF2H60MHXLY463ECTT5UUV83I7TKKK592QXI,2014-08-09,S2LKC5G,3,2C7XO2ROIH3VG56VDRO6RRGSQCTMLIBH4BRL3ONWF7TMED4VARYI4MR255637
98,MB0L8KJQ68B9J0C9RZASVJ478NG6CTECFMYCOLJG3YJ1WGIJS8NERIO7EFL4N,1991-01-25,5OQCPNAZYD,1,UWY5UNY6HF4ZAU73PRRY7C4QPW465P0PKC0XXM6VFIPV5QXHVOO84Q2222SKR
99,3ZULGHAC1WYIRI8XXGLSS2FCSQ2APJH05TG75PFXUYXFUPU3JJMEN5Q2ZISX4,1995-08-25,E71RC729U,3,W0E6IIKI2SLEXIUAUW7YM0NWY69J6DIJQW9NVHS83GUSUAHQ949QQSQK8LSPW
100,IKDSA17JB4UQGDNUPIE4LN1O5LIF6QTU6LL9JOY0XZWNVPXENA13SU2YWYZLA,2010-05-09,N9EI7P7,1,9F6H1A6T03ZADL2JH2D6Y6A5QJ2LM2T4B0Q8PT29ALFVPN3COAFFG4OH5BRL4
101,1A7NUZY6T9OVI8IBR4JYKFRHQV1Y59E0E6RJ2QEUEPGWSP7RQXRU7NX9K1BFU,1995-02-12,6DTYUU0YX,2,E0AZU9Z6WIW3MJNG6YR6DX9BCY5REQ3J0WEWVTF8G7WCA9BU5OYXC4UYS50IS
