id,DT_CONCESSAO_INSCRICAO,DT_INICIO_EXERCICIO,SQ_ESTABELECIMENTO,SQ_INSCRICAO_ESTABELECIMENTO,NU_INSCRICAO_ESTADUAL,SQ_ATIVIDADE_ECONOMICA,SQ_VERSAO_TABELA_ATIVIDADES,SQ_NIVEL_ATIVIDADE_ECONOMICA,IN_PRINCIPAL,NU_ORDEM,CO_ATIVIDADE_ECONOMICA,NO_ATIVIDADE_ECONOMICA
10,1998-06-10,2000-09-09,717054907,414033545,9808102,345055190,241942116,342181575,1,5,AWFCNWD,K2KVNR0MG9GVOR0EHY2RVPYZZ7N91O9IHAFLD4MV7XHBEI2M5VN39IBX1NMHP02LJOP3DW3N9MAMRCH9H74KN5YFMFZKTQ5O44W0WZEEEX278GKLTNMB4SNTAQ6CP71RQ1W0K99GD8D1CNO36CVUR93WYD9V0LZACKUWTAKUEQ7DHLGCVEAX4DYDH11CD4CEUE9X3169
11,2007-01-27,2008-06-02,822547001,402654168,2209663,153622066,939308479,237642285,2,5,VLC82O2,OJ1JP4TSFOYQ4U1NI91R48ZQGSFXQW88AODUO1SWP165AWGZ8ORBHL4H8176280UKIBVDPIUYIVJK1QADG3YP1EP2HMGXL09M8MGUY1RTLZBXFLRFNQCT3VAPJ57T0AOP0IM52MUGJ9ACAKQ6TOY2BC6YJ7Q1ECSI4SVWOIOG0ODG4Q12WHE80EWLEMVFTIOTAEDGKDT
12,2019-10-28,1993-11-11,654064271,138146299,1990858,310159182,690278654,239664997,9,4,LK21ODJ,GQK5JLHY3AK2GIWVMTRE48OTRXYGZS4NNK91NRJA6L2SU0P0FRG15EPFN2P3S8NLN71Y3O2IDTJMUATC5AANDV6WHU2SAMF53PZ1VUPZ1NR28A28030UMCO1X2FAUI6N3ZSIUGYBDTG692QPJSBU1O7DDDDPZLFMELX4AMY4IETYR0UZFSNL3FJMFRUZAQUH3NILRSQI
13,2010-11-04,2008-11-27,106838450,52371837,34450165,338882435,772366467,634911778,8,6,2GQAF8Y,65UH96OB93HN5H4BHKNOGEJRQPY3LG0GL20XV32ZPC93KGDTDTGF32Y7MBVGL3G5AHEUGJMT0WBCH3WDT1AJM0F4EH9ELIH65UFLZIT1FH4LNQSX4SFYKVVLODK3BCT8BTU50283GKPV4GJV7HXAVUDX82R732JX3CLILN06YFO3138867SMRN18MT06AK2HDOMOPAX3
14,2017-06-12,2008-05-10,209755854,974528415,13239836,603497383,239408476,392765515,2,2,8EL2WE9,9GZRGE3OJCFUKV3IVKS9RUMX53X1XDPL5OP1K5R51OKQR5E94SZXH6JWNBNATBEIJKI9T0Y206KBHAC9TF9816NSAGZFQ2N717WO0BBC5B5I9UC11NXV5HI812UJEQU5IASQDTPU0FIUVAH2F7YPAQ4ZRDPMYBWS1XDTCEGGOBXR84EGPBU48N38SGMRJ8J0LBF44JFW
15,2020-04-06,2009-06-20,680960688,341124382,16736678,979347251,408329839,411498798,7,2,U6IV9AD,V5NTXW6OJB25VBWUAA7PZWH1X8IP9AESGL8POFTOHSSACC8D5L8ZC6VQBXKKLIX2JK5UQDBGQQ9ANIJV4MGC9XM8BKP85N0U6CHE48B98DXTL939IGMSCOYKYUTAI5HDQ2LHB21BI1ZDWBSQ6Q9IR7DC3AXNP2G4TXRBGC7MDW5L62GL1V37CER5W4ZNQ6W1B3EM1INR
16,2014-12-10,2013-09-30,989377119,742700724,48845000,793625661,886971321,757623745,8,4,6Y3IA7L,O56X9XGSNGC21SDB5CLP6VXC4677CFOTEPCSCDY8IL6QD3JOS8410IRYU3PTBKY1FZ8BFF2NCOE4H80H0W1F0FKBBQXMFOCKF5SMTEZE41WG7ZY4S3BAOP14F7IV6CX17M64Y8G0BK20CPX27OG92EEKIIT4KTGQIJTD5181ETK2IIIANWKQVBG1NGI7CX2BD3CEEMER
17,1995-03-05,2017-02-20,481697807,703715659,23617000,301680108,566852376,186954845,2,3,L8FN8OM,J85IJ21UZLZU2T9JDZ7QCHYC2N6T8K53RMGPSQBC7GLRXW1EKW95X8N121Z79ZEI90RNX4VDLTPT0PPMUUP145A5PU20448O95QDP5YF0MA4TUDB0W2HM7YJODLA1J7O43TLDS7PVQIFHLXT9PUTU1RH1V6FF9FH7RFVA2IDP0J3CSEC5HI3MPZSIMAKQEHRLN1QE10W
18,1993-05-14,2006-04-21,62878857,536292625,11448333,215159560,143427173,254799128,0,1,NBV16FV,O0UCYX0CYDIEIY758JR5B7KGWCPFX5F9UH0XQF3G2R13ZZH5AU82NIICLEBT3BWRKXINWXD72FKTSAXIGPZQEB5GIV7C5OPWN74612P8W0ATP1B7NSG9AWF1OQTVGQNRQH3RQY2EFIBBBK5Z2G0UU2CHRTQQ0XGHQKXV61LTXKPKIQ6CUGZ162WEJLIMC7W9W6C9BQNE
19,1997-04-16,1999-06-20,108255416,69336589,11402559,794893062,21273220,410006785,7,6,4STUV4T,JZN8YIYXS6RQUA2XJVGSWIEAKLWYBPRC0K4KHX9CV92C4XCC6SD6ODLYAO5EYAA2ER98FWTAQ57SYFWV9MWACVK0JBZTU0MGJK1F73OWM314HS1UVGB2KT5EPBVSODUKZQUQJ20ENBBMZYUPMXX4ZJ4TRUJYGEVDNYLSY4CT6E3YQHHYFK99FWL8USZE3IYGJ2NHQO83
20,2016-05-25,2018-01-16,759423583,134555478,99681707,745692347,461277306,492456080,0,6,DTG2T1H,OEEP7OOH8F2M1ME4XIJS4925BNTU0CDJ1130HKT1OGS14CFQVE26QWJA482PC25XYX9DHR45AHJS2MSYJH8F99D4TSKSZ2686FOASFPLVC5B7YR0NL5HD91MP7X5GUFM97YVLB0F8D28TGZ3H99DMFF0RAL94Q28Q2VPJNVICZ4LPPDEXB5481CESD1A1UTE76AT5U0G
21,2002-06-26,2002-12-03,924088705,479207033,22047957,553609208,400101109,600325570,1,7,MC38L2O,NNTGHV8MNTVVAIOUOTDGANTK75LZYCPTHXYXXTEF6WKCCNRL8KB7QFVR8QAQ1KN0T9G6L54OX9ZKCLY2WL0TZ3QB2BMJFPLAYJ2ZXBBPCU0M4RSC80308U3D4VSFKTWXHWKMCK95KYHU67KEEC6RO2ZSUTM08ROKFYQG3WWULXOTDCZVPAZ6MNL1A8OGMQT84JMW6I48
22,2015-10-20,1995-02-13,160404554,930809780,80444010,535940671,219257072,345040752,9,1,X7N0OS2,5SUMG33CJ85JQO3R1JBPMFR5L1UAHJ0WXLU4D7SA4KMNTSDFDOLBQUTW9JOOI0VU6OR39QS2YLJBA1YVRE45S70Y17Y3R9D71E5OGY7T1HM6D0G45XWJOIN34IXVB9XX5TJZMA1T6S67W4RYFDAA31YAOU06YYII3G65Z1G8XPD4MHO0UBE4XKUR497H3AZWCJ2IMVZP
23,1996-03-22,1996-09-20,238893203,790296402,51965306,475346856,361797063,37870771,6,8,5KQ9O0L,CXWTTK31VHWIHKOC5HLGUGJZDDN04WDZEC311Z9XS3IIJ6WXTEX0OBRMCQ189GU7FBUEV4V9EQUQYEZAUAYVOWNMP7YBZ4V5WN2TN8G5QVOQHDQSNTAA8ACFBRNMZR3DAMFSXW1W0ZITO98OFCBOAYOBYE6GGSG81VX608ST4HOA5VZ56Q97XQLUUO3N05OM9LCDI0DS
24,2009-01-09,2009-01-11,210155704,105564105,90469890,82787532,723246158,229764306,5,8,20ZB0KW,KMO2464IVHX1XJ2BUQCHT6WGEUY9NY0OJ6S3KNPMFNSEZT3P0WDL8F7D2OQG9IB5Q50J2NN8P07JYIRMLWOCUD9IQBH3WBJ5FLRG44EHNEKPWA7QEOGBFFGE7AHVE5SU5BQ5CUH23B8Q7UX5Q84IXMHETK4GBN8ANK20L05N1TT39ZRNW20ZAEQFL2JEWYC4HZAMPKOL
25,2008-12-07,2018-06-10,467012284,804233082,47440573,683250310,616114998,974195741,8,3,OTJB53U,MJ6RSL9SBYLI77963LLAPPTBAE24HJDIDP9IDLFX5XB0DS37T28QQKM9W5IJBKGK3NRIYK9848ISPN4OCXIMIBZT4TIG5IBJM9HMK66CMDQHOLFUAU4ILTKORVTEZW1LEQ52PY85A8XC3C7W8ZDBNPWL3JB8IHOP2GI2PW5D2XQNFLJXPRMIBOO8MBVNSLFMLZFBPVPQ
26,2020-09-09,2003-06-09,47962338,92371109,35072472,186306479,904206055,78818563,4,7,S2CXSMH,HSKFIHHSODRQ1THDCJA4HWBRUTV6FOBE1WUO8I2IJBQXMO7CJB21RMJA7KVQXKGNN0V15OXI0S6I3F7UB7VGJL8V9OSFCQ14LLZ8ZX9J4URKAL524QA3JTBLCQEXD3JHLW1O1PCW2VARMK9ZEMDHS18EJ2EQ2ROZY4S406C8T11HNQ9R9HOORFUB03ZGDGDYQ3FPWU0R
27,1991-01-09,2009-05-23,198737445,979577057,55419207,89472333,916445620,51927320,9,4,YIZS12K,LTGR0E2APZFME8DVLIG68QY9GLNR13QNDLBNU2U4TD2Y54CRGUIHGVBC7TCM8V413LOMHA5Q4WY796BFD27D5EL4WBLU2BBBAHC5T2NHF7NHM1QPK3GO206TYRGYWA6DDJZCQPRBTEL96ILPCN02ABMNZ4EGU1SM4CTD33THJDXR51FM51FMH0TVVIT0RBUZWX9NW1ZI
28,1995-02-23,2007-10-22,187649487,577151601,4307357,636156010,719505168,945265695,9,6,2PD1H63,NUYZ9LTAGVYN3ZQSB77HS9LW00MTEN25SJEVV38LN9SEAZCKH5CT1D7WPXCO5V81Y1BUDAK3NQGC3W6B09XHXQ88ICF7TPC5RKA9TKX7WQ2HR9OX798YA5MWGJZL0U7URZJD78II9GZTR1Z3AFZH9WCVCUGNLZCRY7UIFCTNVH0G1AG6F5M9C7V6H7BH7KRJ01XD8KHZ
29,1999-04-11,2011-10-03,207790564,75463782,16248960,856793571,373672913,468943789,4,3,4MSLA4U,XY9ORR1IXEAQHOPT4833SIBUK71ULZXWOUCR0T5WVZGU7RQLWIJP1TJ6CL4XS9I7U2ZUAQ6TNKTDGZ4XRVGA4S2SJILD44CD4A55ROH3FVLH28Z81PR1X6GPKRLRZ8FYAWR6SSTBOOIJK9O1YD1XV4MPQ55Q28E5OPJNTWYI7A3MKHV1TI2XVJQLE6JPSG9QHZ5WUB8A
30,2016-08-17,2008-09-23,854813211,951027135,71139230,354047316,386358180,220818798,2,4,13QTROH,62GXIRJTZ60OU84XC9UVI9MXH7F5FZK4G1PI4GW3OWAFKLFNDM4E58561Y74R7ITK35YOB8L0CDMQ3P7JU70AZTG106SDX3TYGPO090GOE26JFD4LT0673RC1WLLEE9Z57KDER01E3I5AZMTED0XHGJWIFA0RGZIISBZFHC2GZS7Y0UZQK51QVJW4CMYIWQRGG1359SZ
31,2018-05-20,2001-03-19,29712789,874135195,90332999,718175246,821627328,801903580,6,2,X106NJ9,9YCQKBRYE78SQBIQIKP2DU4P2IG6HVDAPC1MOPKBN55IH1MX43J5MNOBC3NDMPO79JLW22RUZY1VH9MNJ5NQZZT0P0ESPFY0ZJTDY0MC32E5X8IKV6OZ6S64PNXM5CPFQ21RU43KJ1MWLC1P5C8YAHL8E4TYN6K0OJPAT6PC5JRLUAVB9DDKA82K0SFPKXTVW2GKAK37
32,2018-03-23,2007-11-07,742677927,446644854,49519752,581670249,648887777,239722814,2,9,HZ68PDY,2IITPC60A3IDX5G0QY1WOZQ8ZOEH7QELXBC3J173CU28T9PDH0745R42O34YYSDL0O41L2EXGXISP9047E2Q9B10NCNHP7CTMOH5B2O3RKYD333L8WLTFMU240XEVTTOH1MU324XG0TJJDESY6QVGHS83KPUJYZ8LII74PW5OSOT8CPWHKEZV8VBVT7ZNIT0OE09X76V
33,2011-12-01,1996-09-23,863161754,945700700,79445310,492225786,775393460,620788430,5,3,AQNQP4S,DZE4B7SPY4TBPV1N2DO1A1T8UKROZJJDEPGBTE15H5RYFOIFCW5OCMXDIXK131SJGDWVG5PZIOG43VV9K4JYQC0DNQWGYFP2ZQPS19G76BZXF14VRHPZSXLP7X31Z8Z9B0R42ZFUF2SW5R2WMMMXI256I2QP9X4OA8PY7AH5CSN1DWSF3U9U7QP6OZGH7M9DVGUUOUXB
34,1999-05-23,2006-09-23,386783079,687524301,59877560,361906785,340866571,957129,0,5,OW48F8N,XS0WHNLT0TRQGY1UWBWK56C5VB0NU52VFVY0T469PL0EQJCWETSXK5ORBBJBVYYTVPXI58K6IHV2QZ7JH384HA9OUK7MY0GOP0KW068HDO6I7N2LOEOCEIGM94ETU6GNRYAQ649MS4BKOK5B4CMCQBQTDOAHHH7IQQWE4G3X0S12IBUYF8M6OZ6E5YFM6BJXTQHN02VD
35,2018-02-18,1993-07-10,164956682,99005514,87140003,771616321,806578590,95424954,1,1,PO1US3H,VNQ6V1SN9HW0WZZ94ZUXGU8QS6ZZHCTQGHEAIP77G4HR3XIITYOYXMXBC0ZR22AWUQ5TJZGAZQL8B5CRI10QQKDUYW3KRA1C7LDEV04ET0NC3E4ONGVI2TBKIJOV7BHMA9QD23C2IGCNU5269O5JFCRWV4I14AGOKBW2N8QS87IPLUKKO04RKD847PPBY7FG11GST1RS
36,2013-08-19,2016-07-30,926788072,701035318,16889649,593201623,547265822,779392231,8,9,I289LVU,KWKSHP92N246WA1SLCPA44WADYE9CR68AFALMC7KESDE8OO3PMXC2EHBLAUFCQ4YKOITKWF6FUK6AX0XF986XA80OBR60SKA79J9GMEABLC8OSCPW0PT1IIHUYS0SM8B8VMJRAB7EPGD7ZIVSIN19GOXA1A6GE8O4WSR5BVFRAK0MSIFGJH5POKS5O03FTRYUCMU8873
37,2014-01-17,2020-04-16,869001099,489622455,52173317,455191788,38611053,549578026,8,6,U0LST1V,KFN3ACS8FLGE1GJC0USY4MSLULZ8R1V5B4K03V6V2G7BDP7SQ0LCNGSPFM9NUK362HHS89D50IICC5MAJ9ZTIXWBESJEB7UYHWGTB7CHO4CWVQMMZ09NYS5F5IFKAKZQH7SIVF0XPTK7MAV74U1CCO7QDTGJ75MBE43W8MYL3GFELK6C97NK7H417IFF0GMLIF4DDV37
38,2013-06-03,2004-06-17,706518094,91979635,70626544,405670094,8345903,881828704,8,5,WHNU3DU,QAHQ4XVCSCJOZLZUYA26JHJ98163VJDE1OVHR2NZQBH38B2FRBBS5L835F80ETBDWMRQ9NEO9U7P22X7ZG8KQJYJP0I8F2X1Q0QPWQ4ITJI59TIQGRLCNK2JLDUGP3LN5EO8G717ALRRUYNXWWAYCBODZY3WOEXGIBZP7FQXD99I2WJTIMLH5341NC2QNBKSRKNP3Q7A
39,2005-11-02,1998-11-19,575880486,166371396,8449015,28829888,990867270,240952486,4,1,DBV1MTZ,NZ026N88BGQSHF89KVOE4D7V3UC921CHKPE4B46UHI89IUZUP0FEXXKRRGU33P1LL8ARBU4XARXUDUQFVYG407JULNC6KR8CW0Y5GMERVQ44YXU2ACC73OLXVQ7AZZ5HME0VHDGVOKVCJLTF1ILV5UOVOTMR9NDG13QWSQP4WB0XY443BA3B9N6Y8UMNFS9WM1N2ITVP
40,1996-12-19,1997-03-19,625774343,943644343,24962617,143563484,71332184,45032523,5,4,5ANXWZ1,7SSSILORVRNDAH58QI5BHGUN71AA7MKHZDR5T3WDN374W67NZDXXLAG78NXH13OQ32L3GL9JN56PHPPAA9ZO0AK2BQ7NWNMTN814AF0ZIYI4RIV0E6Z6E7FK20XDT5MB923EYHEGN32OO0ZE2BNMLSOSBF7Z00Y11WEYRDAKSAH95N3DPLDY2UN39857859PPQ4S4MW4
41,1994-10-26,1998-11-13,478672762,201349361,59897226,358819802,641530329,426162898,8,2,MLPK4M6,LCJIYEUUFMWPZJ20TJY9BMWZMSI3O66KFLYBQ8EUPU2SYPUPMIE753G7TWUGQEY9PKM2EZCYKMRMTW42TX5UBTTCPRR2RIK9MXNTK6WCKRAA9GFG1CT1ZNUWM2TODG8I63Q54RNVZMG7UZ8AIWMQECJ8CRJXHNQ6PBRNZRBHOD7XV8O8MWFMQNFNY9DCMO0QBRBSEF61
42,2002-10-03,1997-11-25,44561863,272169096,26776346,885037150,504661120,429565481,4,3,SUA6Q3Q,RXHVWZKKJCNF7XL362XTJOMPMQRDXNTVYYP27U31XCYT2NXY7VAL4DSURH5C6I5RQEQT9VI6GX9ZAIPQKO5GFRSA1B8RNU5WPKFTJRZS2H59MFJIRKA2XD2ENO3E0IG7MLOG3XHM8MTLGZ4AJ7FS6NON8JVNG58CKE1R3JVI5XE0EMXJU2Y7CCFYX8O3VSDFJLEGILL3
43,1998-03-17,1991-09-14,987670392,100436386,62329211,733147796,652432559,335347045,1,4,I6SG3ZK,Y8049XKSYBMDVYD99IFRHUSI8AOHJKSJRH4R3FTXP91WQMDKXIYQN3JJPU6ETJI4G8RTM5WVWSYNQOVKS6YS981X9X1EHBFWPU9OTQKHLAK017GH8ERHF5YMZULPC7DQC08V69HLD06N6RWJTOKCZNGPM5H0AHIVEBQ406VUXH7ERSMQXQFFCN8V175YR0LGSK5RISK3
44,2008-12-10,2013-11-13,485256424,273577454,69586128,945798452,956267876,763298765,2,7,N39UODH,C1G93KPDEAJEHZAVPWSIGAXRJUJF4IO8ZGKOSDXE4E7VCK4K6MJOFBKGR8MLV4HAHGPAFBLOEBV4ID0CYZ69Z93DQIDKQCTX4V322D6I2OLWN4J8H7CLTKHAB0X1UJGEUW1PW38AB0SCYABNAK3HRLVYEVKPD1C817QVTIGEMJSX0PA0E248JNFLNVQQK576625XN57O
45,2002-08-31,1990-09-29,158225208,187315365,38301475,60266336,51565412,479004829,9,3,1JA71N0,AJYCV3WDL10BQYVH5M8VRTOXRAMHH2O49BK7XJHQMURROMVFGPKO53GSFR3AJ5Y4A9I46V7ND61YNL9VJRYCUJPWFFW2HOSKJK64I50YKDV06OFA7VZMPKKF5WSMU5V5QYUQ1WDDSDSAM58F44VYV9OQPX8HWHXYJ1TF2366SGI9TK04SIPP8CLMUN7H9EOD4X61CLAJ
46,2002-11-28,1990-05-01,808008090,488878252,55047258,455215330,876480964,573812536,0,5,318HHZ7,7TT2QDDVQ1HTNOU6BK2OANYH6IUZNZREXHXC5W4H1ZEKWU0HAOEK0JZLPMV86DZC6TUTV8ZYUTQ9M1HXDZK6NY4N1A4WFMROJW0XULTCWLOU0CFXA9A5FQ3ZHNBD95GDWK8IWHERVQ7FOI7RYLP1DQSCU3DKOPXP4CJHL3F5KM87VEEE4MBPCNULZKGE1IIE9U9VRQ8B
47,2003-01-14,2001-07-09,489304838,534285097,9308848,591412905,520850960,609562118,3,7,YUG93IU,7G0NWWGY2YQTK2YXTW83R62C3DZ2WBIZGVOECMJQPUD7BLVHOF73ZCJR5AT4VA7GRLO1QMAF4TMO9C2BHFU5ZR8TVT0UEYDFG4U2ERRHHOZOO2022UY2WYMPQ2ULZC09FUUZGME73PSR6ENDIQB4O0Q16QEXIG5TEL1IPL0CC1QYJ0D2REMLLUIURKEQMGXSWCVTS3PG
48,1995-02-06,1996-04-24,349160013,808608429,97082487,749462779,665953143,387938332,3,8,0S2Y685,NNJ65173OOGBRHMGSKDOCRN4TNLJKWZ10UCRDT952M9UEPS5PDJU9C27AS4RPQ2767IKOWS4M3512QO9S8TZEL53TBZ0AOY73BS3X9TDR3J1AQ3V6V5Z57Q4BJ1HHMABQ7ZYIG5QKJRLVRZX5MVOBCNMIPN5MK94TITGENGS1QSM04U1JWUKD5ILBVC22VZY4DDPUG95
49,1992-12-03,1997-04-12,766199487,101034709,89868877,926299630,671488065,26067450,7,1,20T7BOG,P5GE9PVKLHXWXAVGEJG6RAD97NBROAV99S10S93G9ZJ9ZC5598125TLJNW9SKHBP0AK5Z68QB6J15CKMD9N3YIANRUO7NTGS328Z2T751T9DN2ZZNHBFH7B3R9F5P8B2VMVWA7IH5MYLX1UE93058XSLR95S9ZUYJBZDHTLRRIVSAAVCKLVE05BFS6J3T6P366FVJXWS
50,2015-03-15,2000-06-09,820912863,198644499,36830244,240397331,683110999,3948782,7,6,HF6W1Q8,YZNQCAGOGYRCZ8MQ262Z26Z45LU4PO91GCK5DXTL6OY9HHLSC04KXWPSK0CQFO0AH6RFWCOB91ZSOUWTNDPG2E3NJSE24P7ANA1B1UJH3A6ABKBZOGU0IAQ2PZQFRGCVWYD1IJUE9J6BDKJG51ASHRFCEY2G0J6GP4KRQQM1GON8CK2T51XJHHY9BFWEFE5W7QXSG4TB
51,1993-01-30,2012-11-13,529479823,630824987,87728647,890889382,226095585,831528694,8,7,04LPHL2,HCTWV166JD8PGZYQLKHS3394SJHNNHQJJ0V908S25M86PKLSU23L18AK8ZR7LJUECZFURMFGM6Q2N19TKWOJ5KXDHE43W70QENX7R23JKXQ2I7P4V622BXU7TZ8DMQ8IMVWJCD5MIR6QEA7ZSDBWFLVF4MCU5SP8JMJ5C222LNUIUQ226ZKK9HHCOH8YOY8XEJXUM9VI
52,2020-01-05,2010-12-19,367823748,466014384,10154199,198961000,846390094,182611634,7,7,0ZQ3MMV,QO09Z4AS7V0FM4DDIMK9OM1IH2JX8MDVHKUBILUEPXPKQFHDUBKWP555BGC9YCT52HBGDYA7A9FNAX1NGDK9RG6VACYP5I7657HF9YFD3GYZW6VF44RF1NLO8KY99TFBWXF74DPBEGVU85SA4HN8FR849BVRV2LI4NZ649QBI6FNRF0D5Z4354VAUHDOU0ZWEBZ22ZSI
53,1996-03-23,2019-06-22,302823313,43248466,24796101,742945675,931642506,272519159,7,8,O8PWDKY,GW5HBU9IJJ964HKQHNPZFEADUFG7AWAXPQ3AY8YSK9Z3QLVJR0HINZB5AY7NSN8ZCDKL19PNH29HYDERPXMZYXB3H2PAGGM7C23Z67PR3A2HHHTS8WRK4VINW6ZMICY5XO3I0MSMCTA5TELSXJQ9008QVU9DNUFJR1YWWNAXDIOG6A750H9XCNKQOMG8VAFRAGZD8S1M
54,2014-02-15,1997-12-04,813069664,802390238,3304897,524900919,894681282,407889084,8,1,FEZ97IE,93VMC15QA93OQKDVW6H3X15RAH0WG6SQ8RP7MASBTLNTABXUGFI1S5ALO9B2O6E4RAPGASYG1U5WTJWHWTNORC9JOPHCBX3NAQ7YLUD3TS7BB9OL19CZIHSYVSRK16HJGH4D2OVRNOJUHT4TRELNNPW42QIY8JWFI924WU03DR1VCKCR1WGYBFDZZGUFS78CA5AJX6BK
